Joshua Project People Group Data

ROL3,Language,NbrPGICs,JPScale,LeastReached,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID,RLG3,PrimaryReligion
mln,Malango,1,5,N,3,,,Yes,N,Y,3913,1,Christianity
mjo,Malankuravan,2,1,Y,2,,,,N,N,,5,Hinduism
mjp,Malapandaram,,,N,2,,,,N,N,,,
mjq,Malaryan,,,N,0,,,,N,N,,,
ymr,Malasar,,,N,3,,,2017,N,N,,,
mjr,Malavedan,,,N,2,,,,N,N,,,
lws,"Malawian Sign Language",1,,N,0,,,,N,N,,1,Christianity
zlm,Malay,40,1,Y,5,2015,1668-1974,1629-1932,Y,Y,,6,Islam
abs,"Malay, Ambonese",11,5,N,4,,1877-2022,1931-2016,Y,Y,abs,1,Christianity
mbf,"Malay, Baba",2,4,N,4,,1835-2016,1891-1912,N,Y,,4,"Ethnic Religions"
btj,"Malay, Bacanese",1,4,N,0,,,,N,N,,6,Islam
mhp,"Malay, Balinese",1,1,Y,1,,,,N,Y,,6,Islam
bpq,"Malay, Banda",1,1,Y,1,,,,N,N,,6,Islam
bve,"Malay, Berau",1,1,Y,1,,,,N,N,,6,Islam
bvu,"Malay, Bukit",1,1,Y,3,,,2021,Y,Y,,4,"Ethnic Religions"
pse,"Malay, Central",10,1,Y,4,,1995,Yes,Y,Y,pse,6,Islam
coa,"Malay, Cocos Islands",3,1,Y,1,,,,N,N,,6,Islam
jax,"Malay, Jambi",2,1,Y,3,,,2020,Y,Y,,6,Islam
meo,"Malay, Kedah",1,1,Y,0,,,,N,N,,6,Islam
mqg,"Malay, Kota Bangun Kutai",1,1,Y,3,,,2020,Y,Y,,6,Islam
mkn,"Malay, Kupang",1,4,N,4,,2007-2016,1999-2002,N,Y,mkn,1,Christianity
lrt,"Malay, Larantuka",1,1,Y,1,,,,N,N,,6,Islam
xmm,"Malay, Manado",2,5,N,4,,2017,2003-2012,Y,Y,xmm,1,Christianity
max,"Malay, North Moluccan",1,1,Y,4,,2020,2005-2012,Y,Y,max,6,Islam
pmy,"Malay, Papuan",,,N,3,,,2013-2020,Y,Y,pmy,,
mfa,"Malay, Pattani",1,1,Y,4,,1981,1981,Y,Y,,6,Islam
msi,"Malay, Sabah",,,N,3,,,2017-2022,N,Y,,,
zsm,"Malay, Standard",,,N,5,1733-2016,1668-1974,1629-1932,N,Y,zsm,,
vkt,"Malay, Tenggarong Kutai",1,1,Y,3,,,2020,Y,N,,6,Islam
mal,Malayalam,438,3,N,5,1841-2022,1829-1995,1811-1968,Y,Y,mal,5,Hinduism
xdy,"Malayic Dayak",1,4,N,4,,2021,2018,Y,Y,xdy,6,Islam
mlz,Malaynon,1,4,N,0,,,,N,N,,1,Christianity
xml,"Malaysian Sign Language",1,,N,3,,,2020,N,N,,6,Islam
div,Maldivian,4,1,Y,3,,,1997-2017,Y,Y,div,6,Islam
mdy,Male,1,5,N,5,2007-2017,Yes,Yes,Y,Y,mdy,4,"Ethnic Religions"
pqm,Malecite-Passamaquoddy,2,5,N,3,,,1863-2014,N,Y,pqm,1,Christianity
hot,Malei,2,5,N,4,,2010-2014,1988,Y,Y,hot,1,Christianity
gut,"Maleku Jaika",1,4,N,0,,,,N,Y,,1,Christianity
pkt,Maleng,2,4,N,1,,,,N,Y,,4,"Ethnic Religions"
mgl,Maleu-Kilenge,1,5,N,4,,2014,1990,N,Y,,1,Christianity
mxf,Malgbe,2,5,N,1,,,,N,N,,1,Christianity
gcc,Mali,1,5,N,2,,,,N,N,,1,Christianity
bog,"Malian Sign Language",,,N,0,,,,N,N,,,
mgq,Malila,1,4,N,4,,2020,2010-2015,Y,N,mgq,4,"Ethnic Religions"
mli,Malimpung,1,1,Y,0,,,,N,N,,6,Islam
mla,Malo,1,5,N,4,,1954,1892-1954,N,Y,,1,Christianity
mbk,Malol,1,4,N,3,,,2011-2018,N,N,,1,Christianity
mlt,Maltese,9,3,N,5,1926-2010,1847-1959,1822-1872,Y,Y,mlt,1,Christianity
mdl,"Maltese Sign Language",1,,N,3,,,2008-2020,N,N,,1,Christianity
mll,"Malua Bay",1,5,N,1,,,,N,N,,1,Christianity
mup,Malvi,296,1,Y,4,,1826-2015,Yes,Y,Y,,5,Hinduism
mam,Mam,10,5,N,5,1993-2013,1939-2003,1930-2003,Y,Y,mam,1,Christianity
mma,Mama,1,4,N,2,,,,N,Y,,4,"Ethnic Religions"
wmd,Mamainde,2,5,N,3,,,1979-2008,Y,Y,,4,"Ethnic Religions"
mqj,Mamasa,2,5,N,4,,2011,1995-2004,Y,Y,mqj,6,Islam
mgm,Mambae,1,4,N,3,,,2022-2023,N,Y,mgm,1,Christianity
mcs,Mambai,2,5,N,3,,,2011-2014,N,Y,,1,Christianity
mcu,"Mambila, Cameroon",1,5,N,4,,2001-2006,1992,N,Y,mcu,4,"Ethnic Religions"
mzk,"Mambila, Nigeria",1,2,N,4,,1977-2011,1973,Y,Y,,4,"Ethnic Religions"
mvd,Mamboru,1,2,N,2,,,,N,N,,4,"Ethnic Religions"
mgr,Mambwe-Lungu,2,5,N,5,2013,1901-1991,1893-1924,Y,Y,mgr,1,Christianity
maw,Mampruli,2,1,Y,4,,2001-2007,1943-1998,Y,Y,maw,4,"Ethnic Religions"
mqx,Mamuju,1,1,Y,3,,,2019,Y,Y,,6,Islam
kdf,Mamusi,1,5,N,3,,,2021,Y,N,,1,Christianity
mdi,Mamvu,1,5,N,3,,,1931,N,Y,,1,Christianity
mml,"Man Met",1,1,Y,1,,,,N,Y,,2,Buddhism
mva,Manam,1,5,N,4,,1996-2014,1988,N,Y,mva,1,Christianity
mle,Manambu,1,5,N,4,,1979,1972,N,Y,mle,1,Christianity
pmr,Manat,1,5,N,0,,,,N,N,,1,Christianity
mnc,Manchu,1,4,N,4,,1835-1929,1822,N,N,,7,Non-Religious
ate,Mand,1,5,N,0,,,,N,N,,1,Christianity
mha,"Manda (India)",,,N,0,,,,N,N,,,
mgs,"Manda (Tanzania)",1,5,N,4,,1937,1913-1928,Y,Y,mgs,1,Christianity
myz,"Mandaic, Classical",,,N,0,,,,N,N,,,
mhq,Mandan,,,N,3,,,1905,N,N,mhq,,
mdr,Mandar,2,1,Y,3,,,2003-2006,Y,Y,,6,Islam
tbf,Mandara,1,5,N,4,,2009,2006,Y,Y,tbf,1,Christianity
mqu,Mandari,1,4,N,3,,,2008-2012,Y,Y,,1,Christianity
mry,Mandaya,3,4,N,2,,,,N,Y,,4,"Ethnic Religions"
mjl,Mandeali,152,1,Y,4,,2017-2021,1970,Y,Y,mjl,5,Hinduism
mqr,Mander,,,N,0,,,,N,N,,,
mnk,Mandinka,7,1,Y,5,2013,1989,1837-2000,Y,Y,mnk,6,Islam
mzv,Mandja,2,5,N,3,,,2022,Y,Y,,1,Christianity
mfv,Mandjak,4,2,N,4,,2020-2021,1968,Y,Y,mfv,4,"Ethnic Religions"
aax,"Mandobo Atas",2,4,N,2,,,,N,N,,1,Christianity
bwp,"Mandobo Bawah",1,4,N,2,,,,N,N,,1,Christianity
jet,Manem,2,4,N,1,,,,N,N,,1,Christianity
mkr,Manep,1,5,N,2,,,,N,N,,1,Christianity
zng,Mang,2,1,Y,0,,,,N,Y,,4,"Ethnic Religions"
mem,Mangala,,,N,0,,,,N,Y,,,
mrv,Mangareva,1,5,N,3,,,1908,N,N,,1,Christianity
mpc,Mangarrayi,,,N,0,,,,N,Y,,,
myj,Mangayat,,,N,0,,,,N,N,,,
mdj,Mangbetu,2,5,N,3,,,1988-2007,Y,Y,,1,Christianity
mdk,Mangbutu,1,5,N,0,,,,N,Y,,1,Christianity
mqy,Manggarai,1,3,N,4,,2013,Yes,Y,Y,mqy,1,Christianity
mge,Mango,1,5,N,4,,2019,1968,Y,N,mge,1,Christianity
mqc,Mangole,1,2,N,2,,,,N,N,,6,Islam
mbh,Mangseng,1,5,N,4,,1999-2014,1991,N,Y,mbh,1,Christianity
mom,Mangue,,,N,0,,,,N,N,,,
abd,Manide,1,4,N,2,,,,N,N,,1,Christianity
msc,"Maninka, Sankaran",1,1,Y,3,,,2015,N,Y,msc,6,Islam
emk,"Maninkakan, Eastern",13,1,Y,4,,1932-1993,1931-1964,Y,Y,,6,Islam
mwk,"Maninkakan, Kita",1,1,Y,3,,,2017,Y,N,,6,Islam
mlq,"Maninkakan, Western",6,1,Y,3,,,1997-2003,Y,Y,,6,Islam
mqp,Manipa,1,2,N,1,,,,N,N,,6,Islam
knf,Mankanya,3,2,N,4,,2014,2000-2005,Y,Y,knf,4,"Ethnic Religions"
nlm,Mankiyali,,,N,0,,,,N,N,,,
bqt,Mankong,1,4,N,3,,,2014-2018,N,Y,,1,Christianity
mju,Manna-Dora,,,N,2,,,,N,N,,,
mjv,Mannan,,,N,4,,2018,2012,N,Y,mjv,,
msm,"Manobo, Agusan",2,4,N,4,,1999-2011,1962-1995,Y,Y,msm,4,"Ethnic Religions"
atd,"Manobo, Ata",1,4,N,4,,2000,1974-1981,N,Y,atd,4,"Ethnic Religions"
mta,"Manobo, Cotabato",2,2,N,4,,1988-2005,1964-1997,Y,Y,mta,4,"Ethnic Religions"
mbd,"Manobo, Dibabawon",1,4,N,4,,1978-1987,1967,N,Y,mbd,4,"Ethnic Religions"
mbi,"Manobo, Ilianen",1,4,N,4,,1989,1961-1981,Y,Y,mbi,4,"Ethnic Religions"
mkx,"Manobo, Kinamiging",1,5,N,0,,,,N,N,,4,"Ethnic Religions"
mbt,"Manobo, Matigsalug",2,4,N,5,2022-2023,2010-2011,1972-2005,Y,Y,mbt,4,"Ethnic Religions"
obo,"Manobo, Obo",1,4,N,4,,2011-2016,1941-1999,Y,Y,obo,4,"Ethnic Religions"
mqk,"Manobo, Rajah Kabunsuwan",1,4,N,1,,,,N,N,,4,"Ethnic Religions"
mbs,"Manobo, Sarangani",1,5,N,4,,1982,1967-1985,Y,Y,mbs,4,"Ethnic Religions"
mbb,"Manobo, Western Bukidnon",2,4,N,5,2016,1978-2003,1959-1965,Y,Y,mbb,4,"Ethnic Religions"
woo,Manombai,1,4,N,2,,,,N,N,,1,Christianity
msk,Mansaka,1,2,N,4,,1975,1959-1968,N,Y,msk,4,"Ethnic Religions"
zns,"Mansi (Nigeria)",1,2,N,0,,,,N,Y,,4,"Ethnic Religions"
mns,"Mansi (Russian Federation)",1,1,Y,3,,,1868-2016,N,N,,4,"Ethnic Religions"
msw,Mansoanka,2,4,N,3,,,2011-2013,Y,Y,,6,Islam
myg,Manta,1,3,N,1,,,,N,N,,1,Christianity
nty,Mantsi,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
glv,Manx,,,N,5,1771-2017,1767-1775,1748-1767,N,N,glv,,
mzj,Manya,2,1,Y,4,,2022-2023,2023,N,Y,mzj,6,Islam
mny,Manyawa,1,4,N,2,,,,N,N,,1,Christianity
mxc,Manyika,2,5,N,4,,1908,1903-1922,Y,Y,,1,Christianity
mmd,Maonan,1,4,N,1,,,,N,Y,,4,"Ethnic Religions"
mri,Maori,3,5,N,5,1858-2017,1837-1862,1833-1862,Y,Y,mri,1,Christianity
mlh,Mape,1,5,N,4,,2008-2014,Yes,N,N,mlh,1,Christianity
mnm,Mapena,1,5,N,2,,,,N,Y,,1,Christianity
mpw,Mapidian,,,N,0,,,,N,Y,,,
mcg,Mapoyo,,,N,0,,,,N,N,,,
arn,Mapudungun,3,5,N,4,,1997-2011,1901-1930,Y,Y,arn,1,Christianity
sjm,Mapun,2,1,Y,4,,2021,1978-1998,Y,Y,sjm,6,Islam
mch,Maquiritari,2,3,N,4,,1970,1957-1968,Y,Y,mch,1,Christianity
mrh,Mara,23,3,N,5,1955-2023,1928-1968,1912-1954,N,Y,mrh,1,Christianity
vmh,Maraghei,,,N,0,,,,N,Y,,,
mrs,Maragus,,,N,0,,,,N,N,,,
mrw,Maranao,1,1,Y,5,2013,1981,1937-1967,Y,Y,,6,Islam
wax,Marangis,1,5,N,2,,,,N,N,,1,Christianity
zmr,Maranunggu,,,N,0,,,,N,N,,,
mgb,Mararit,3,1,Y,0,,,,N,Y,,6,Islam
mar,Marathi,695,1,Y,5,1821-2022,1811-1982,1807-1957,Y,Y,mar,5,Hinduism
mvr,Marau,1,4,N,1,,,,N,Y,,1,Christianity
mpg,Marba,1,5,N,5,1999,1978,1967-1986,Y,Y,mpg,1,Christianity
dsz,"Mardin Sign Language",,,N,0,,,,N,N,,,
vmr,Marenje,1,4,N,2,,,,N,N,,1,Christianity
mvu,Marfa,1,4,N,0,,,,N,N,,6,Islam
mrt,"Marghi Central",1,5,N,4,,1985-1987,1940-1961,Y,Y,,1,Christianity
mfm,"Marghi South",1,4,N,3,,,2013,Y,Y,,1,Christianity
mbx,"Mari (PNG, East Sepik Province)",1,5,N,1,,,,N,Y,,1,Christianity
hob,"Mari (PNG, Madang Province)",1,2,N,2,,,,N,N,,4,"Ethnic Religions"
mrj,"Mari, Hill",2,3,N,4,,1824-2014,1821-2006,N,N,,1,Christianity
mhr,"Mari, Meadow",4,3,N,4,,1986-2020,1870-1999,Y,N,mhr,1,Christianity
mrr,"Maria (India)",9,1,Y,4,,2021,2017-2021,Y,Y,mrr,5,Hinduism
mds,"Maria (Papua New Guinea)",1,5,N,1,,,,N,Y,,1,Christianity
daq,"Maria, Dandami",4,1,Y,4,,2010,Yes,Y,Y,,5,Hinduism
mrc,Maricopa,1,4,N,0,,,,N,N,,1,Christianity
zmd,Maridan,,,N,0,,,,N,N,,,
zmj,Maridjabin,,,N,0,,,,N,N,,,
dad,Marik,1,5,N,4,,2011-2013,1989-1997,N,Y,dad,1,Christianity
zmm,Marimanindji,,,N,0,,,,N,N,,,
mrz,Marind,1,4,N,3,,,Yes,N,Y,,1,Christianity
bpv,"Marind, Bian",1,4,N,0,,,,N,Y,,1,Christianity
mbw,Maring,1,5,N,3,,,1969-1979,N,Y,,1,Christianity
zmt,Maringarr,,,N,0,,,,N,N,,,
mrb,Marino,1,5,N,1,,,,N,N,,1,Christianity
mqi,Mariri,1,1,Y,1,,,,N,N,,6,Islam
nsr,"Maritime Sign Language",,,N,0,,,,N,N,,,
zmy,Mariyedi,,,N,0,,,,N,N,,,
rkm,Marka,2,4,N,3,,,1987,N,Y,,4,"Ethnic Religions"
enb,Markweeta,1,4,N,4,,2008,1998-2000,Y,Y,,4,"Ethnic Religions"
rmz,Marma,14,2,N,4,,2022-2023,1970,Y,Y,rmz,2,Buddhism
mvo,Marovo,1,5,N,5,1956,1941,1931,N,Y,,1,Christianity
mrq,"Marquesan, North",2,5,N,4,,1995,1880-1995,N,Y,,1,Christianity
mqm,"Marquesan, South",1,5,N,3,,,1858-1905,N,N,,1,Christianity
mec,Marra,,,N,0,,,,N,N,3662,,
xru,Marriammu,,,N,0,,,,N,N,,,
mfr,Marrithiyel,,,N,0,,,,N,N,,,
mah,Marshallese,4,5,N,5,1982-2009,1885-1977,1863-1983,Y,Y,,1,Christianity
zmg,"Marti Ke",,,N,0,,,,N,N,,,
mpj,"Martu Wangka",1,5,N,3,,,1981-1999,N,Y,,1,Christianity
mzr,Marubo,1,2,N,3,,,2019,N,Y,,4,"Ethnic Religions"
rwr,"Marwari (India)",529,1,Y,4,,1820-2023,1815-1867,Y,Y,,5,Hinduism
mve,"Marwari (Pakistan)",288,1,Y,4,,1821-2023,1969-1991,Y,Y,,6,Islam
myx,Masaaba,2,5,N,5,2016-2017,1977-2011,1904-1910,Y,Y,myx,1,Christianity
mls,Masalit,2,1,Y,3,,,2013-2019,Y,Y,,6,Islam
mcn,Masana,2,5,N,5,2001-2004,1950-1955,1934-1985,Y,Y,mcn,1,Christianity
msb,Masbatenyo,1,5,N,4,,1993,1972-1991,Y,N,msb,1,Christianity
mxz,"Masela, Central",1,4,N,0,,,,N,N,,1,Christianity
vme,"Masela, East",1,4,N,0,,,,N,N,,1,Christianity
mss,"Masela, West",1,3,N,0,,,,N,N,,1,Christianity
cuj,"Mashco Piro",1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
jms,"Mashi (Nigeria)",1,5,N,0,,,,N,Y,,4,"Ethnic Religions"
mho,"Mashi (Zambia)",3,5,N,3,,,2013-2023,Y,Y,3749,4,"Ethnic Religions"
ism,Masimasi,,,N,0,,,,N,N,,,
bnf,Masiwang,2,4,N,1,,,,N,N,,1,Christianity
klv,Maskelynes,1,5,N,4,,2013-2014,1906-2009,Y,Y,klv,1,Christianity
msv,Maslam,2,1,Y,0,,,,N,N,,6,Islam
mes,Masmaje,1,1,Y,1,,,,N,N,,6,Islam
mdg,Massalat,,,N,0,,,,N,N,,,
mvs,Massep,,,N,0,,,,N,N,,,
mtn,Matagalpa,,,N,0,,,,N,N,,,
mfh,Matal,1,4,N,4,,1989-2011,Yes,Y,Y,mfh,1,Christianity
wtb,Matambwe,1,4,N,2,,,,N,N,,6,Islam
xmt,Matbat,1,4,N,2,,,,N,Y,,4,"Ethnic Religions"
mgv,Matengo,1,5,N,4,,2024,2019,Y,N,mgv,1,Christianity
mqe,Matepi,1,5,N,2,,,,N,N,,1,Christianity
xem,Mateq,1,4,N,2,,,,N,Y,,4,"Ethnic Religions"
mzo,Matipuhy,,,N,0,,,,N,N,,,
mpq,Matis,1,1,Y,0,,,,N,Y,,4,"Ethnic Religions"
ocu,"Matlatzinca, Atzingo",1,5,N,0,,,,N,Y,,1,Christianity
mat,"Matlatzinca, San Francisco",1,4,N,0,,,,N,Y,,1,Christianity
met,Mato,1,5,N,4,,2018,2017,Y,N,met,1,Christianity
mcf,Matses,2,2,N,4,,1993-2021,1976-1988,Y,Y,mcf,4,"Ethnic Religions"
mcb,Matsigenka,1,3,N,4,,1976-2018,1956-2011,Y,N,mcb,1,Christianity
xnz,Mattokki,1,1,Y,3,,,1912-1954,N,Y,xnz,6,Islam
mvb,Mattole,,,N,0,,,,N,N,,,
mjk,"Matukar Panau",1,5,N,2,,,,N,N,,1,Christianity
mgw,Matumbi,1,1,Y,3,,,2017,Y,Y,mgw,6,Islam
mph,Maung,1,5,N,3,,,1960-2016,N,Y,mph,1,Christianity
lsy,"Mauritian Sign Language",1,,N,2,,,,N,N,,5,Hinduism
mhl,Mauwake,2,5,N,4,,1998-2014,1986-1991,N,Y,mhl,1,Christianity
mcw,"Mawa (Chad)",1,1,Y,3,,,2022,N,Y,,6,Islam
mjj,Mawak,1,5,N,0,,,,N,N,,1,Christianity
mcz,Mawan,1,5,N,2,,,,N,N,,1,Christianity
mzx,Mawayana,,,N,0,,,,N,N,,,
mke,Mawchi,13,1,Y,4,,1989,1976-1978,Y,Y,,5,Hinduism
mgk,Mawes,1,4,N,1,,,,N,Y,,1,Christianity
myf,"Mawes Aasse",1,1,Y,0,,,,N,N,,6,Islam
mbl,Maxakali,1,5,N,4,,1981-2011,1968,Y,Y,mbl,1,Christianity
mop,"Maya, Mopan",2,5,N,4,,1979-2012,1965,N,Y,mop,1,Christianity
yua,"Maya, Yucatec",5,5,N,5,1992,1961-1977,1865-1985,Y,Y,yua,1,Christianity
yan,Mayangna,3,4,N,5,1998-1999,1999,Yes,Y,Y,yan,1,Christianity
myc,Mayeka,2,4,N,0,,,,N,N,,1,Christianity
mfy,Mayo,1,5,N,4,,2013-2014,1962-2000,N,Y,mfy,1,Christianity
mdm,Mayogo,1,5,N,4,,2015,2000-2008,Y,Y,mdm,1,Christianity
dkx,Mazagway-Hidi,1,1,Y,3,,,1972,Y,Y,,6,Islam
maz,"Mazahua, Central",1,4,N,4,,1970-2012,1949-1987,Y,Y,maz,1,Christianity
mmc,"Mazahua, Michoacan",1,4,N,3,,,1986-1987,N,Y,,1,Christianity
mzn,Mazandarani,1,1,Y,3,,,2021,N,Y,mzn,6,Islam
vmy,"Mazatec, Ayautla",1,4,N,4,,2009,2004,N,Y,vmy,1,Christianity
maq,"Mazatec, Chiquihuitlan",1,4,N,4,,1991-2009,1975-1987,N,Y,maq,1,Christianity
mau,"Mazatec, Huautla",1,4,N,4,,1960-2009,1946-1958,Y,Y,mau,1,Christianity
mzi,"Mazatec, Ixcatlan",1,3,N,4,,2013-2015,2012,N,Y,mzi,1,Christianity
maj,"Mazatec, Jalapa de Diaz",1,5,N,4,,2013-2015,1968-2012,N,Y,maj,1,Christianity
vmz,"Mazatec, Mazatlan",1,4,N,4,,2023,2023,N,Y,,1,Christianity
pbm,"Mazatec, Puebla and Northeastern",1,4,N,2,,,,N,Y,,1,Christianity
maa,"Mazatec, San Jeronimo Tecoatl",1,4,N,4,,2011-2013,1995-2012,N,Y,maa,1,Christianity
vmp,"Mazatec, Soyaltepec",1,3,N,3,,,Yes,N,Y,vmp,1,Christianity
muh,MÃ¼ndÃ¼,2,5,N,4,,2005-2011,1984-1995,Y,Y,muh,4,"Ethnic Religions"
mfc,Mba,1,4,N,3,,,2019-2022,Y,Y,,1,Christianity
mdp,Mbala,1,5,N,3,,,1931-1968,Y,Y,,1,Christianity
lnb,Mbalanhu,1,2,N,1,,,,N,N,,4,"Ethnic Religions"
zmz,Mbandja,3,5,N,5,2013-2014,1998,1986,Y,Y,,1,Christianity
mxg,Mbangala,1,2,N,4,,2022,Yes,N,N,,4,"Ethnic Religions"
mgn,Mbangi,1,5,N,1,,,,N,N,,1,Christianity
zmn,Mbangwe,2,3,N,0,,,,N,N,,1,Christianity
mpk,"Mbara (Chad)",1,1,Y,0,,,,N,N,,6,Islam
bau,Mbat,1,4,N,2,,,,N,Y,,1,Christianity
mdn,Mbati,1,4,N,2,,,,N,Y,,4,"Ethnic Religions"
gwa,Mbato,1,4,N,2,,,,N,Y,,1,Christianity
myb,Mbay,4,5,N,5,1980-2004,1943,1932,N,Y,myb,1,Christianity
mfo,Mbe,1,4,N,3,,,1992,Y,Y,,1,Christianity
mql,Mbelime,2,4,N,3,,,2014,Y,Y,,4,"Ethnic Religions"
mfn,"Mbembe, Cross River",1,5,N,4,,1985-2013,1975,Y,Y,mfn,1,Christianity
nza,"Mbembe, Tigon",2,4,N,4,,2018,2001-2008,Y,Y,nza,4,"Ethnic Religions"
mdt,Mbere,2,4,N,3,,,Yes,Y,Y,mdt,1,Christianity
zms,Mbesa,1,4,N,2,,,,N,Y,,1,Christianity
emz,Mbessa,1,4,N,1,,,,N,N,,1,Christianity
mbo,"Mbo (Cameroon)",1,4,N,2,,,,N,Y,,1,Christianity
zmw,"Mbo (Democratic Republic of the Congo)",1,4,N,2,,,,N,N,,1,Christianity
mtk,Mbo',1,3,N,1,,,,N,Y,,1,Christianity
moi,Mboi,1,4,N,2,,,,N,Y,,4,"Ethnic Religions"
mdu,Mboko,1,5,N,2,,,,N,Y,,1,Christianity
mdq,Mbole,1,5,N,2,,,,N,Y,,1,Christianity
xmb,Mbonga,2,2,N,1,,,,N,N,,4,"Ethnic Religions"
bgu,Mbongno,1,4,N,2,,,,N,N,,6,Islam
gai,Mbore,1,5,N,4,,2017,1992-2006,N,Y,gai,1,Christianity
mdw,Mbosi,1,4,N,3,,,Yes,Y,Y,,4,"Ethnic Religions"
mxo,Mbowe,1,4,N,3,,,Yes,N,N,,4,"Ethnic Religions"
mka,Mbre,,,N,0,,,,N,N,,,
xmd,Mbudum,1,3,N,2,,,,N,N,,1,Christianity
mhd,Mbugu,1,4,N,2,,,,N,N,,6,Islam
mgz,Mbugwe,1,4,N,3,,,2016-2023,Y,N,,4,"Ethnic Religions"
bpc,Mbuk,1,,N,1,,,,N,N,,1,Christianity
mqb,Mbuko,1,5,N,4,,2010-2019,2001-2005,Y,N,mqb,1,Christianity
mhw,Mbukushu,4,4,N,4,,1986-1993,1976-1986,Y,Y,3922,1,Christianity
mna,Mbula,1,5,N,4,,1996-2014,1989-2000,N,Y,mna,1,Christianity
mbu,Mbula-Bwazza,1,5,N,4,,2016,2008,Y,Y,mbu,4,"Ethnic Religions"
mlb,Mbule,1,2,N,2,,,,N,N,,4,"Ethnic Religions"
mbv,Mbulungish,1,1,Y,4,,2019,Yes,N,Y,,6,Islam
mdd,Mbum,3,5,N,4,,1965-2024,1936-1965,N,Y,,6,Islam
mck,Mbunda,2,5,N,5,2006-2007,1983,1919-2000,N,Y,mck,1,Christianity
mgy,Mbunga,1,4,N,2,,,,N,N,,4,"Ethnic Religions"
zmp,Mbuun,1,5,N,3,,,1935-1951,N,Y,,1,Christianity
mfu,Mbwela,1,5,N,2,,,,N,N,,1,Christianity
mym,Me'en,3,5,N,4,,2021,1996-2010,Y,Y,,1,Christianity
tpx,"Me'phaa, Acatepec",2,3,N,3,,,2015-2023,Y,Y,tpx,1,Christianity
tpc,"Me'phaa, Azoyu",1,3,N,0,,,,N,N,,1,Christianity
tcf,"Me'phaa, Malinaltepec",1,3,N,3,,,1974-2023,Y,Y,,1,Christianity
tpl,"Me'phaa, Tlacoapa",1,3,N,4,,1975,1953-1977,Y,Y,,1,Christianity
mjm,Medebur,1,5,N,2,,,,N,N,,1,Christianity
mue,"Media Lengua",1,2,N,0,,,,N,Y,,4,"Ethnic Religions"
byv,Medumba,1,4,N,5,1992-1993,1967,1948-1960,Y,Y,byv,1,Christianity
mfj,Mefele,1,2,N,2,,,,N,Y,,4,"Ethnic Religions"
mef,Megam,1,3,N,2,,,,N,Y,,1,Christianity
nux,Mehek,1,5,N,1,,,,N,Y,,1,Christianity
mmh,Mehinaku,1,2,N,1,,,,N,Y,,4,"Ethnic Religions"
gdq,Mehri,5,1,Y,3,,,1902,N,N,,6,Islam
mni,Meitei,90,1,Y,5,1984-2022,1827-2023,1820-1995,Y,Y,mni,5,Hinduism
mek,Mekeo,1,5,N,4,,1998-2014,1992-1995,Y,Y,mek,1,Christianity
mvk,Mekmek,1,4,N,1,,,,N,N,,1,Christianity
msf,Mekwei,1,4,N,0,,,,N,Y,,1,Christianity
hkn,Mel-Khaonh,2,4,N,0,,,,N,N,,4,"Ethnic Religions"
mel,"Melanau, Central",2,4,N,3,,,1980,N,N,,6,Islam
dro,"Melanau, Daro-Matu",1,4,N,2,,,,N,N,,6,Islam
kxn,"Melanau, Kanowit-Tanjong",1,1,Y,2,,,,N,Y,,4,"Ethnic Religions"
sdx,"Melanau, Sibu",1,1,Y,0,,,,N,N,,6,Islam
mxe,Mele-Fila,1,5,N,4,,1993,Yes,Y,Y,,1,Christianity
mfx,Melo,1,5,N,4,,2018,Yes,Y,N,,1,Christianity
med,Melpa,1,5,N,4,,1965-2018,1956-1991,Y,Y,med,1,Christianity
mby,Memoni,,,N,0,,,,N,N,,,
mfd,Mendankwe-Nkwen,1,4,N,2,,,,N,Y,,1,Christianity
sim,"Mende (Papua New Guinea)",1,5,N,4,,2005-2014,2000,N,N,sim,1,Christianity
men,"Mende (Sierra Leone)",6,4,N,5,1959-1993,1956-2003,1867-1954,Y,Y,men,6,Islam
bgj,Mendenkye,1,2,N,3,,,2014,N,Y,,6,Islam
xmg,Mengaka,1,4,N,2,,,,N,Y,,1,Christianity
bce,Mengambo,1,4,N,2,,,,N,N,,1,Christianity
mee,Mengen,1,5,N,4,,2003-2018,1997,N,N,mee,1,Christianity
mct,Mengisa,1,4,N,2,,,,N,Y,,1,Christianity
tnr,Menik,1,1,Y,4,,2015,1997,N,Y,tnr,4,"Ethnic Religions"
mea,Menka,1,4,N,1,,,,N,Y,,1,Christianity
mez,Menominee,1,4,N,0,,,,N,Y,,1,Christianity
mwv,Mentawai,1,4,N,5,2015,1987-1996,1911-1955,Y,Y,mwv,1,Christianity
mcr,Menya,2,5,N,4,,2017,1995-2008,N,Y,mcr,1,Christianity
mvx,Meoswar,1,4,N,1,,,,N,N,,4,"Ethnic Religions"
mnu,Mer,1,4,N,1,,,,N,Y,,1,Christianity
mxm,Meramera,1,5,N,4,,2023,1995-2014,N,Y,,1,Christianity
quq,Mercheros,,,N,0,,,,N,N,,,
lmb,Merei,1,5,N,3,,,2011-2014,N,N,,4,"Ethnic Religions"
